strategy_factor,strategy_source,strategy_category,nearest_ml106_feature,nearest_abs_rank_corr,overlap_tier,strategy_best_direction,strategy_declared_direction,strategy_is_declared_direction,strategy_best_sharpe,strategy_best_cagr,strategy_best_mdd,strategy_mean_ic_5d,ml106_feature_best_direction,ml106_feature_best_sharpe,ml106_feature_best_cagr,ml106_feature_best_mdd,ml106_mean_ic_5d,action
tech_dma_10_50,alphabuilderstw,technical,BETA_60,0.723710825044775,medium_related_0_4_0_8,high,1.0,1,1.3871775195061278,0.48715579247388807,-0.2540742809829164,-0.005591782171573579,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
tech_donchian_pos_20,alphabuilderstw,technical,keltner_position,0.9107736850703709,high_duplicate_ge_0_8,high,1.0,1,0.7201120131520315,0.16447903686554644,-0.2987998649049671,-0.018193219221246136,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
tech_ema_12_pos,alphabuilderstw,technical,ma10_bias,0.94414165760613,high_duplicate_ge_0_8,high,1.0,1,0.6141508501251196,0.16782812941038738,-0.4025913183680675,-0.03928779210510085,low,0.39241664745714355,0.09468987022038866,-0.3863434029168902,-0.039719990304153976,dedupe_or_keep_as_alias
tech_emv_14,alphabuilderstw,technical,rsi14,0.5690735844210619,medium_related_0_4_0_8,high,1.0,1,1.1391190681485723,0.38090325828724847,-0.16931896718714323,0.0002660509499571099,high,0.8591419048345269,0.23750208742165713,-0.24000349075938632,-0.016774643423643286,keep_but_cluster_with_ml_neighbor
tech_gap_down,alphabuilderstw,event,return_1d,0.18081403293830364,low_novel_lt_0_4,high,-1.0,0,-0.13270302829605743,0.0031807753869328437,-0.1522391503479512,0.0059718123397527936,high,0.8281103637579877,0.2124090819322133,-0.2568702205599628,-0.021568016119857314,watch_or_strategy_only
tech_gap_up,alphabuilderstw,event,return_1d,0.22800646969699398,low_novel_lt_0_4,high,1.0,1,0.5839469258395621,0.12280510767649733,-0.2632860921532625,-0.0070815097748843535,high,0.8281103637579877,0.2124090819322133,-0.2568702205599628,-0.021568016119857314,watch_or_strategy_only
tech_granville_score,alphabuilderstw,technical,RSQR_60,0.32078948404698776,low_novel_lt_0_4,high,1.0,1,1.0747948559140006,0.3510467771211254,-0.4565099408510582,0.008200300223862988,high,0.6591787619746001,0.14461410526109963,-0.19051598577570117,0.0024164649992514803,candidate_add_to_shared_pool
tech_kd9_k,alphabuilderstw,technical,keltner_position,0.8274492501754852,high_duplicate_ge_0_8,high,1.0,1,0.8913395764266677,0.24764986099318276,-0.29677640641030145,-0.012073761323824895,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
tech_kdj_j_9,alphabuilderstw,technical,ma10_bias,0.8384366066162492,high_duplicate_ge_0_8,low,1.0,0,0.4654677122550752,0.09557018423482178,-0.3294456446489902,-0.022252550501434633,low,0.39241664745714355,0.09468987022038866,-0.3863434029168902,-0.039719990304153976,dedupe_or_keep_as_alias
tech_keltner_pos_20,alphabuilderstw,technical,keltner_position,0.970339007976908,high_duplicate_ge_0_8,high,1.0,1,0.7894125839684943,0.20920568958063046,-0.30068196132273295,-0.028257118209128525,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
tech_limit_down_count_10,alphabuilderstw,event,atr14,0.1320093151526811,low_novel_lt_0_4,low,-1.0,1,0.48916228194607214,0.14123231593221242,-0.46414766693940523,0.0075002017321804445,high,1.6696966482004338,0.6210741648358218,-0.1482879342068143,-0.010755671697390275,watch_or_strategy_only
tech_limit_up_streak_10,alphabuilderstw,event,KLEN,0.3329485864459929,low_novel_lt_0_4,low,-1.0,1,0.6727689530063008,0.19598680087708042,-0.3761747692549413,0.026331679708559236,high,0.6068693319881608,0.1705486514243293,-0.38736495329600396,-0.05044792028930972,watch_or_strategy_only
tech_locked_open_down_10,alphabuilderstw,event,BETA_10,0.06851037100747308,low_novel_lt_0_4,low,-1.0,1,0.09526026195054785,0.02328998020436579,-0.219070377861193,0.007954923747138052,high,0.912285441422384,0.27129986416789365,-0.34176498090250684,-0.024214918688092158,watch_or_strategy_only
tech_locked_open_up_10,alphabuilderstw,event,keltner_position,0.08536919709879147,low_novel_lt_0_4,high,1.0,1,0.673262592113276,0.13671178997798816,-0.1729674037731911,0.00483954471717201,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,watch_or_strategy_only
tech_ma_convergence,alphabuilderstw,technical,RSQR_20,0.5844999956250586,medium_related_0_4_0_8,low,-1.0,1,0.9387769012180501,0.3011333711795743,-0.2854939826861511,0.01772603473902206,high,1.0360543005281957,0.1997830109927048,-0.1815529209271679,0.011248603066798316,watch_or_strategy_only
tech_mfi_14,alphabuilderstw,technical,rsi14,0.7889981265816077,medium_related_0_4_0_8,low,-1.0,1,0.2924981361312414,0.06507907399689938,-0.31583371547724903,0.021913024991509725,high,0.8591419048345269,0.23750208742165713,-0.24000349075938632,-0.016774643423643286,watch_or_strategy_only
tech_mtm_10,alphabuilderstw,technical,BETA_10,0.7773102932894681,medium_related_0_4_0_8,high,1.0,1,1.15534920055515,0.3671560583085409,-0.25069716142087894,-0.023668102696947795,high,0.912285441422384,0.27129986416789365,-0.34176498090250684,-0.024214918688092158,keep_but_cluster_with_ml_neighbor
tech_obv,alphabuilderstw,technical,CNTD_20,0.593553505439773,medium_related_0_4_0_8,high,1.0,1,0.8524304501168487,0.20356269299295637,-0.2992799886074031,-0.01642460306377414,high,0.9807318275518376,0.2472665278244479,-0.25629887146885666,0.004253655684398926,watch_or_strategy_only
tech_psy_12,alphabuilderstw,technical,CNTP_10,0.9009978153134596,high_duplicate_ge_0_8,low,-1.0,1,0.6253978651336378,0.14714326068579986,-0.2663557794285386,0.008930668763483758,high,0.3194036893554952,0.07120491477347901,-0.26235828428875785,-0.009505862276207078,dedupe_or_keep_as_alias
tech_roc_10,alphabuilderstw,technical,BETA_10,0.8595449673452337,high_duplicate_ge_0_8,high,1.0,1,0.9392148828886947,0.3084463429562492,-0.38635927937256054,-0.02591106281862681,high,0.912285441422384,0.27129986416789365,-0.34176498090250684,-0.024214918688092158,dedupe_or_keep_as_alias
tech_sar,alphabuilderstw,technical,ma10_bias,0.7840362251158987,medium_related_0_4_0_8,high,1.0,1,0.49671730486589166,0.12815455780786067,-0.40807543672903424,-0.02242895186482997,low,0.39241664745714355,0.09468987022038866,-0.3863434029168902,-0.039719990304153976,watch_or_strategy_only
tech_slow_kd_14,alphabuilderstw,technical,keltner_position,0.876376272500411,high_duplicate_ge_0_8,high,1.0,1,0.9438016326041682,0.26862202670030144,-0.19637071913224202,-0.008466635073151298,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
tech_sma_20_pos,alphabuilderstw,technical,keltner_position,0.9450892059546215,high_duplicate_ge_0_8,high,1.0,1,0.7552470944805161,0.22407244983492536,-0.34984646541159825,-0.0334980484653778,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
tech_tower_3,alphabuilderstw,technical,ma5_bias,0.6116364261187655,medium_related_0_4_0_8,low,1.0,0,-0.24389357636612888,-0.008951814697217952,-0.18950121981437784,-0.02050347039087278,high,0.4925909065270003,0.12352121058849597,-0.44934382764651215,-0.03868098345144716,watch_or_strategy_only
tech_trix_12,alphabuilderstw,technical,BETA_20,0.8007639966642022,high_duplicate_ge_0_8,high,1.0,1,1.195942094179933,0.4376423193309871,-0.23449129065375574,-0.007334643418841766,high,1.117169003561477,0.425641304032494,-0.301039073183064,-0.014284701210931674,dedupe_or_keep_as_alias
tech_volume_ratio_5,alphabuilderstw,technical,vol_ratio_5d,0.9423534613411059,high_duplicate_ge_0_8,high,1.0,1,0.2934269818983998,0.06379995685005269,-0.32470272947426915,-0.009415586814862003,low,0.317761406474247,0.050229267117985366,-0.19032495783733472,-0.010104636616897677,dedupe_or_keep_as_alias
tech_vr_26,alphabuilderstw,technical,CNTD_20,0.6085714324144167,medium_related_0_4_0_8,high,1.0,1,0.7765375715212933,0.20118818089798074,-0.3312820408855389,-0.01171049680086905,high,0.9807318275518376,0.2472665278244479,-0.25629887146885666,0.004253655684398926,watch_or_strategy_only
tech_williams_r_14,alphabuilderstw,technical,bb_position,0.8681861497690948,high_duplicate_ge_0_8,low,-1.0,1,0.7951330771405977,0.16983394282918218,-0.23844046513175532,0.01955197803203668,high,0.7122178279157613,0.14837405278389437,-0.2757609317919303,-0.024891557255207197,dedupe_or_keep_as_alias
tech_wma_10_pos,alphabuilderstw,technical,ma10_bias,0.9615265919799961,high_duplicate_ge_0_8,high,1.0,1,0.4601214333632537,0.1193516920869575,-0.3858439633969256,-0.041090535300176596,low,0.39241664745714355,0.09468987022038866,-0.3863434029168902,-0.039719990304153976,dedupe_or_keep_as_alias
val_bp,alphabuilderstw,valuation,atr14,0.6975749766990944,medium_related_0_4_0_8,low,1.0,0,0.9606081304410048,0.3345265914327862,-0.2338468423580754,0.014565206117043691,high,1.6696966482004338,0.6210741648358218,-0.1482879342068143,-0.010755671697390275,watch_or_strategy_only
val_dp,alphabuilderstw,valuation,KLEN,0.3081970509564075,low_novel_lt_0_4,high,1.0,1,-0.24462121814906826,-0.023108074953934632,-0.310270422703245,0.04901782818173527,high,0.6068693319881608,0.1705486514243293,-0.38736495329600396,-0.05044792028930972,watch_or_strategy_only
val_ep,alphabuilderstw,valuation,KLEN,0.23267855727709919,low_novel_lt_0_4,low,1.0,0,-0.08193908357286125,-0.010406964036830835,-0.2659061976666982,0.042830602459496964,high,0.6068693319881608,0.1705486514243293,-0.38736495329600396,-0.05044792028930972,watch_or_strategy_only
val_sp,alphabuilderstw,valuation,atr14,0.2298415820712038,low_novel_lt_0_4,high,1.0,1,1.5667947443236199,0.3170664797984333,-0.12432960015229066,0.016807278206852,high,1.6696966482004338,0.6210741648358218,-0.1482879342068143,-0.010755671697390275,candidate_add_to_shared_pool
