feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,materialization_ready,duplicate_level,nearest_feature,nearest_abs_rank_corr,preferred_feature_id,high_duplicate_cluster_id,related_cluster_id,priority,allowed_transforms,feature_selection_entry,activation_state
tech_bbi,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_ema_12_pos,0.99632791,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_bias_20,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_sma_20_pos,0.99999999,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_bullish_streak_5,strategy95,event,core_prior,keep_candidate,materialized,True,related_cluster,tech_psy_12,0.60902452,tech_bullish_streak_5,62,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_cci_20,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_bbands_pctb_20,0.97674055,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_cmo_14,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,mom_rsi_14,0.99999987,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_disposal_active,strategy95,event,core_prior,keep_candidate,materialized,True,independent_candidate,tech_limit_up_streak_10,0.203079,tech_disposal_active,63,17,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_dma_10_50,strategy95,technical,core_prior,keep_candidate,materialized,True,high_duplicate,mom_macd_trend_10,0.97671504,mom_macd_trend_10,1,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_donchian_pos_20,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_williams_r_14,0.92179543,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_ema_12_pos,strategy95,technical,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_bbi,0.99632791,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_emv_14,strategy95,technical,core_prior,keep_candidate,materialized,True,related_cluster,l1_squeezeMomentum,0.61855493,tech_emv_14,64,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_gap_down,strategy95,event,core_prior,keep_candidate,materialized,True,independent_candidate,vol_money_flow_5d,0.17117661,tech_gap_down,65,18,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_gap_up,strategy95,event,core_prior,keep_candidate,materialized,True,independent_candidate,l1_bestFvgStrength,0.32892124,tech_gap_up,66,19,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
tech_granville_score,strategy95,technical,core_prior,keep_candidate,materialized,True,independent_candidate,RSQR_60,0.32078948,tech_granville_score,67,20,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
