pool,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,nearest_other_feature,nearest_abs_rank_corr,overlap_tier,status_current,eligible_current,reason_code
strategy95,mom_reversal_6m,alphabuilderstw,momentum,1.248047,40.35%,-32.68%,BETA_60,0.579270,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_close_to_52w_high,alphabuilderstw,momentum,1.197085,26.76%,-23.90%,BETA_60,0.519934,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_trix_12,alphabuilderstw,technical,1.195942,43.76%,-23.45%,BETA_20,0.800764,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_squeezeMomentum,stockvision_l1,l1_signal,1.188171,39.07%,-29.13%,keltner_position,0.832133,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_macdHist,stockvision_l1,l1_signal,1.177486,34.54%,-27.32%,macdHist,0.992777,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_9m,alphabuilderstw,momentum,1.169341,41.47%,-34.43%,BETA_60,0.464161,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_mtm_10,alphabuilderstw,technical,1.155349,36.72%,-25.07%,BETA_10,0.777310,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_ma50_200_ratio,alphabuilderstw,momentum,1.152921,33.82%,-40.86%,BETA_60,0.477745,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_emv_14,alphabuilderstw,technical,1.139119,38.09%,-16.93%,rsi14,0.569074,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_vol_adj_12m,alphabuilderstw,momentum,1.121496,37.86%,-35.18%,BETA_60,0.418358,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_roe,stockvision_l1,l1_signal,1.116157,25.80%,-25.26%,bb_lower_raw,0.573686,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_foreignTrustNet5d,stockvision_l1,l1_signal,1.105985,27.79%,-18.55%,chip_5d,0.717882,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,mom_reversal_1m,alphabuilderstw,momentum,1.094517,32.62%,-25.20%,BETA_20,0.850436,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_brokerConcentration,stockvision_l1,l1_signal,1.087945,24.13%,-12.20%,return_1d,0.556578,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_volumeMomentumDivergence132710,stockvision_l1,l1_signal,1.078882,30.75%,-29.74%,vol_ratio_20d,0.314754,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,tech_granville_score,alphabuilderstw,technical,1.074795,35.10%,-45.65%,RSQR_60,0.320789,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_closeAboveMa60Pct,stockvision_l1,l1_signal,1.067961,34.40%,-40.18%,BETA_60,0.783834,medium_related_0_4_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_revenueGrowthYoY,stockvision_l1,l1_signal,1.042526,23.10%,-23.88%,atr14,0.182032,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_sectorTurnoverShareDelta,stockvision_l1,l1_signal,0.991763,31.27%,-26.05%,vol_ratio_20d,0.129587,low_novel_lt_0_4,candidate,True,strategy95_base_keep_all_selection_owned_downstream
strategy95,l1_return20d,stockvision_l1,l1_signal,0.988715,33.75%,-35.38%,BETA_20,0.879272,high_duplicate_ge_0_8,candidate,True,strategy95_base_keep_all_selection_owned_downstream
