strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
l1_brokerCount,stockvision_l1,l1_signal,revenue_yoy,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,short_ratio,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,margin_change_5d,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,retail_pct,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,foreign_consecutive_sell,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,foreign_net_5d_market,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,limit_down_count,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,limit_down_pct,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,adl_value,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,adl_trend_numeric,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,sector_encoded,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,market_cap_bucket,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,avg_volume_bucket,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,sector_peer_return_1d,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,sector_peer_return_5d,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
l1_brokerCount,stockvision_l1,l1_signal,stock_vs_sector,0.7671604081610365,0.7671604081610365,848433,-0.0008362815821029688,
mom_reversal_1m,alphabuilderstw,momentum,keltner_position,-0.766589516556389,0.766589516556389,843817,0.02252116697656678,-0.026209558310383026
tech_ema_12_pos,alphabuilderstw,technical,ma5_bias,0.7647599028182712,0.7647599028182712,848433,-0.03928779210510085,-0.03868098345144716
tech_wma_10_pos,alphabuilderstw,technical,bb_position,0.7639950685035839,0.7639950685035839,837073,-0.041090535300176596,-0.024891557255207197
