id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
ml106_vol_ratio_20d_high,ml_feature_single,vol_ratio_20d,other,high,1,0.8490103270223752,0.2888163499142047,ok,0.076,-0.06785624864695039,-0.017186407566236503,1.1341307784709187,-0.2085898139722303,-0.38216120155248745,-0.4395966981474959,-0.7692654860885438,-0.1775545838391253,0.3974358974358974,10.0,10.0,410,,830,10.0,10,10
ml106_vol_ratio_20d_low,ml_feature_single,vol_ratio_20d,other,low,-1,0.8490103270223752,0.2888163499142047,ok,0.083,0.07479976644787434,0.07170185064583166,-0.0693398989472075,0.27144200723401,-0.1327605812792646,0.5170388258047534,0.9841625569425467,0.563376056104954,0.44587628865979384,10.0,10.0,410,,830,10.0,10,10
ml106_ma20_bias_high,ml_feature_single,ma20_bias,price_technical,high,1,0.8490103270223752,0.2888163575401164,ok,0.083,0.0757723311595766,0.1398413088773513,1.434040407964736,0.27527632823061143,-0.269140012958776,0.3366261949197606,0.7866556302582697,0.28152453097292685,0.3953488372093023,10.0,10.0,410,,830,10.0,10,10
ml106_ma20_bias_low,ml_feature_single,ma20_bias,price_technical,low,-1,0.8490103270223752,0.2888163575401164,ok,0.085,0.06084328526718208,0.20326660871554175,3.187826747622954,0.21730319575367485,-0.3701489950804663,0.27537169299318187,0.5737437366937794,0.164370678751048,0.4186046511627907,10.0,10.0,410,,830,10.0,10,10
ml106_ma60_bias_high,ml_feature_single,ma60_bias,price_technical,high,1,0.8490103270223752,0.28881640785461526,ok,0.083,-0.0022773467132697345,0.10211458319107197,2.336579278784361,-0.00756171477193357,-0.36537032929279756,0.017353031777253433,0.03455507084220619,-0.0062328114862603414,0.3798449612403101,10.0,10.0,410,,830,10.0,10,10
ml106_ma60_bias_low,ml_feature_single,ma60_bias,price_technical,low,-1,0.8490103270223752,0.2888164078546153,ok,0.075,-0.019792536442688413,0.12536131538337567,3.2489435028483946,-0.06438824044673452,-0.38556716737038976,-0.09332081984416868,-0.1600861822847908,-0.05133223156773565,0.4160206718346253,10.0,10.0,410,,830,10.0,10,10
ml106_institutional_net_high,ml_feature_single,institutional_net,chip_margin_flow,high,1,0.8490103270223752,0.28881627973876844,ok,0.083,0.19221564028716132,0.30949006275695323,2.6249249891769866,0.7955705657360483,-0.2974005564647485,0.8028180421474613,1.8944226136825084,0.6462973021939262,0.4230769230769231,10.0,10.0,410,,830,10.0,10,10
ml106_institutional_net_low,ml_feature_single,institutional_net,chip_margin_flow,low,-1,0.8490103270223752,0.28881627973876844,ok,0.083,0.0858816711529713,0.18824998599682788,2.2912851930930795,0.315612702552476,-0.4212045277101817,0.3751273248355561,0.9659452267586087,0.20389057238800298,0.4230769230769231,10.0,10.0,410,,830,10.0,10,10
ml106_chip_5d_high,ml_feature_single,chip_5d,chip_margin_flow,high,1,0.8490103270223752,0.2888162874095662,ok,0.076,0.2439313920824555,0.36831319620398384,2.784007790970933,1.0682297710297384,-0.3426538194333647,0.8587894339174001,2.139627319261692,0.7118679540951391,0.441025641025641,10.0,10.0,410,,830,10.0,10,10
ml106_chip_5d_low,ml_feature_single,chip_5d,chip_margin_flow,low,-1,0.8490103270223752,0.2888162874095662,ok,0.076,0.15772542617093155,0.2752638537028428,2.6308341505289023,0.6283859915954977,-0.35161946582629244,0.6362586557455266,1.6646099100978742,0.4485557710594398,0.44358974358974357,10.0,10.0,410,,830,10.0,10,10
