id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches,selection_note
ml106_CNTP_5_high,ml_feature_single,CNTP_5,price_technical,high,1,0.8490103270223752,0.27569516726607035,ok,0.091,0.10359945980000251,0.20744165901744172,2.3242747899880927,0.388446383408076,-0.24810551995961228,0.4516561437953129,0.9031007146791455,0.41754526204917053,0.4378238341968912,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_BETA_5_low,ml_feature_single,BETA_5,price_technical,low,-1,0.8490103270223752,0.28881617360513073,ok,0.084,0.11581005315611503,0.24371334625329533,2.862828425655202,0.4402530070643862,-0.4541159458227084,0.4501582354345147,1.0117706686666486,0.25501747746720355,0.4289405684754522,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CORR_10_low,ml_feature_single,CORR_10,price_technical,low,-1,0.8490103270223752,0.28881643094650034,ok,0.092,0.06300348314960735,0.12142863827812192,1.307716094128578,0.2255752629966079,-0.215631511160006,0.40596350747411103,0.7322404527259241,0.2921676944790967,0.45103092783505155,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_ma10_bias_low,ml_feature_single,ma10_bias,price_technical,low,-1,0.8490103270223752,0.28881638710826274,ok,0.08,0.09468987022038866,0.22769167086430186,2.9769470849935025,0.35147797173275075,-0.3863434029168902,0.39241664745714355,0.8953237371475425,0.24508615559096739,0.4780361757105943,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CNTD_5_high,ml_feature_single,CNTD_5,price_technical,high,1,0.8490103270223752,0.28398216200628773,ok,0.084,0.08408231135822009,0.17723771352931555,2.0850748005067015,0.30836886647995776,-0.2488282857699201,0.378086729955027,0.7701912986472851,0.3378994156709629,0.44041450777202074,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_return_3d_high,ml_feature_single,return_3d,price_technical,high,1,0.8490103270223752,0.288815356089517,ok,0.084,0.07626940108997404,0.13649546885499927,1.3480254854122344,0.2772391391161022,-0.2999571493520742,0.3430426247067957,0.701556767731155,0.2542591788958062,0.38917525773195877,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_ma20_bias_high,ml_feature_single,ma20_bias,price_technical,high,1,0.8490103270223752,0.2888163575401164,ok,0.083,0.0757723311595766,0.1398413088773513,1.434040407964736,0.27527632823061143,-0.269140012958776,0.3366261949197606,0.7866556302582697,0.28152453097292685,0.3953488372093023,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_volatility_5d_low,ml_feature_single,volatility_5d,price_technical,low,-1,0.8490103270223752,0.2888144032019893,ok,0.082,0.06953433513360352,0.1624028388647208,2.078653222223951,0.25082304652289245,-0.20063089471742568,0.3253250274601661,0.6994171487288614,0.34656112968162744,0.4496124031007752,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CNTP_10_high,ml_feature_single,CNTP_10,price_technical,high,1,0.8490103270223752,0.2823437111251469,ok,0.097,0.07120491477347901,0.16409592820298727,2.0791570513501987,0.2573393533706325,-0.26235828428875785,0.3194036893554952,0.7788465674974617,0.2713929961714128,0.4241645244215938,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_vol_ratio_5d_low,ml_feature_single,vol_ratio_5d,other,low,-1,0.8490103270223752,0.28881642517212086,ok,0.076,0.050229267117985366,0.0811367391162188,0.6917944586028438,0.17722546188652943,-0.19032495783733472,0.317761406474247,0.6488936569949335,0.26389932616010886,0.4282051282051282,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CNTN_20_low,ml_feature_single,CNTN_20,price_technical,low,-1,0.8490103270223752,0.285746889501836,ok,0.083,0.053086798479323294,0.11161483978694192,1.3100189705519478,0.18792304173679342,-0.12794114533610312,0.288667457179951,0.5596606780729839,0.41489897053968877,0.4381443298969072,10.0,10.0,407,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CORD_10_high,ml_feature_single,CORD_10,price_technical,high,1,0.8490103270223752,0.28881643095061704,ok,0.083,0.05274356967883698,0.09459916635720274,0.9368436812064096,0.18663453600598734,-0.22975608455038365,0.27099576495451244,0.4545363614080127,0.22955332934383202,0.38974358974358975,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CNTD_10_high,ml_feature_single,CNTD_10,price_technical,high,1,0.8490103270223752,0.28714254371749415,ok,0.09,0.05041978494935906,0.12490206069080252,1.6671187350749583,0.1779365873991252,-0.3285193836597502,0.23791686106466564,0.47005677998466466,0.1534711580063036,0.41794871794871796,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_margin_ratio_high,ml_feature_single,margin_ratio,price_technical,high,1,0.8490103270223752,0.2887601230142967,ok,0.09,0.041830105422884456,0.059285537179724936,0.3907007005488041,0.14617233544880204,-0.21528915946603833,0.22072981634528877,0.44953912715944305,0.1942882894973996,0.4296875,10.0,10.0,405,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_short_squeeze_proxy_high,ml_feature_single,short_squeeze_proxy,chip_margin_flow,high,1,0.8490103270223752,0.18298983632905572,ok,0.09,0.03578813339659637,0.16949896866104705,2.9928172351459725,0.12419173904529046,-0.4432393622213532,0.19159094695940046,0.4287023696458435,0.08074040584569238,0.43846153846153846,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_volatility_20d_low,ml_feature_single,volatility_20d,price_technical,low,-1,0.8490103270223752,0.28881552278116934,ok,0.076,0.033253543999161916,0.14121453970507686,2.4164648140380494,0.1150593934695272,-0.40730346967219666,0.15861162721279515,0.30571030521530035,0.08164115963541338,0.4652956298200514,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CNTN_5_low,ml_feature_single,CNTN_5,price_technical,low,-1,0.8490103270223752,0.275583611136118,ok,0.083,0.015823058159040837,0.07626122928117894,1.3527729434738363,0.053656106734352615,-0.24260708779307194,0.04426895555558226,0.0836249819011336,0.06521823463867607,0.4020618556701031,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
