id,kind,factor_id,source,category,direction_mode,direction,declared_direction,is_declared_direction,coverage,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
strategy95_tech_adx_14_high,strategy95_factor_single,tech_adx_14,alphabuilderstw,technical,high,1,1.0,1,0.9430832966417164,ok,1.141,0.23085137531971633,0.29249369390352375,1.3797250844115172,0.9967097100405611,-0.28675862549103426,0.8951033835393679,2.1342098616803606,0.8050091774315591,0.43410852713178294,10.0,10.0,407,,830,10.0,10,10
strategy95_tech_adx_14_low,strategy95_factor_single,tech_adx_14,alphabuilderstw,technical,low,-1,1.0,0,0.9430832966417164,ok,1.054,0.0805854271351556,0.15401060893039875,1.6434580573512743,0.29437104912802736,-0.1613097024267992,0.47630449065593244,1.114072933609683,0.4995386547512522,0.4073107049608355,10.0,10.0,408,,830,10.0,10,10
strategy95_tech_atr_14_high,strategy95_factor_single,tech_atr_14,alphabuilderstw,technical,high,1,-1.0,0,0.9445332826321899,ok,1.07,0.08249310051492253,0.1226905549207458,0.8997298843942476,0.3019942919111629,-0.1322315607194109,0.5895333672607878,1.3905356735983627,0.6238061624964919,0.47668393782383417,10.0,10.0,404,,830,10.0,10,10
strategy95_tech_atr_14_low,strategy95_factor_single,tech_atr_14,alphabuilderstw,technical,low,-1,-1.0,1,0.9445332826321899,ok,1.06,0.5884929786548279,0.7011931885093907,2.522541496283498,3.667943564625098,-0.14828783657571565,1.6244918233475525,4.997986362984597,3.968318029739861,0.5794871794871795,10.0,10.0,400,,830,10.0,10,10
strategy95_tech_bbands_pctb_20_high,strategy95_factor_single,tech_bbands_pctb_20,alphabuilderstw,technical,high,1,1.0,1,0.8289877116439178,ok,1.167,0.1483565003945191,0.21022248989807302,1.3847314564253763,0.5849262389549927,-0.2774755313148214,0.7211268094531443,1.5138295921289777,0.5346458955591494,0.4318766066838046,10.0,10.0,410,,830,10.0,10,10
strategy95_tech_bbands_pctb_20_low,strategy95_factor_single,tech_bbands_pctb_20,alphabuilderstw,technical,low,-1,1.0,0,0.8289877116439178,ok,1.12,0.010953228514644087,0.08853863271968407,1.7365753077629924,0.03693320631951891,-0.24993842016550638,0.009394470821620251,0.01860844440118025,0.043821955375398146,0.44871794871794873,10.0,10.0,409,,830,10.0,10,10
strategy95_tech_bbi_high,strategy95_factor_single,tech_bbi,alphabuilderstw,technical,high,1,1.0,1,0.8260947444262098,ok,1.122,0.20478812545363967,0.3239367745683607,2.666875350151251,0.8593878095998155,-0.4271951670893068,0.7150483335457578,1.7033745498745463,0.4793671547770135,0.44473007712082263,10.0,10.0,409,,830,10.0,10,10
strategy95_tech_bbi_low,strategy95_factor_single,tech_bbi,alphabuilderstw,technical,low,-1,1.0,0,0.8260947444262098,ok,0.998,0.04021035232187087,0.16797331319386224,2.85968740345336,0.14025046822835763,-0.46019476789565994,0.1963395072261496,0.4119428570758829,0.08737491466187411,0.4470284237726098,10.0,10.0,408,,830,10.0,10,10
strategy95_tech_bias_20_high,strategy95_factor_single,tech_bias_20,alphabuilderstw,technical,high,1,-1.0,0,0.8289877116439178,ok,1.238,0.10057153058220614,0.22043122154732475,2.682790427643453,0.37580430561205835,-0.4413025171764722,0.440214585628417,0.9769995047524218,0.22789186045676915,0.48195876288659795,10.0,10.0,408,,830,10.0,10,10
strategy95_tech_bias_20_low,strategy95_factor_single,tech_bias_20,alphabuilderstw,technical,low,-1,-1.0,1,0.8289877116439178,ok,1.155,0.22407244983492536,0.3456227481381352,2.720630882153327,0.9603328025962059,-0.34984646541159825,0.7552470944805161,1.749859476937298,0.6404696553808407,0.47164948453608246,10.0,10.0,408,,830,10.0,10,10
strategy95_tech_bullish_streak_5_high,strategy95_factor_single,tech_bullish_streak_5,alphabuilderstw,event,high,1,1.0,1,1.0,ok,1.12,0.11745406563638427,0.22057111555452827,2.3080439488846736,0.4473298904943508,-0.19946566022387324,0.627464809272618,1.1947308259389622,0.5888140212423137,0.4315245478036176,10.0,10.0,409,,830,10.0,10,10
strategy95_tech_bullish_streak_5_low,strategy95_factor_single,tech_bullish_streak_5,alphabuilderstw,event,low,-1,1.0,0,1.0,ok,1.127,-0.06154941036194472,0.01883073914887834,1.7991294149335078,-0.19062210611434238,-0.34135391380069413,-0.5226397598132466,-0.8041519399575628,-0.18030438448125025,0.3963730569948187,10.0,10.0,409,,830,10.0,10,10
strategy95_tech_cci_20_high,strategy95_factor_single,tech_cci_20,alphabuilderstw,technical,high,1,1.0,1,0.8289877116439178,ok,1.083,0.08164126697477925,0.13362643828305393,1.1635714963242332,0.2985864144165489,-0.3320337482414141,0.3836270479507817,0.8005630788620635,0.2458750312486581,0.41131105398457585,10.0,10.0,410,,830,10.0,10,10
strategy95_tech_cci_20_low,strategy95_factor_single,tech_cci_20,alphabuilderstw,technical,low,-1,1.0,0,0.8289877116439178,ok,1.167,-0.02236311122853707,0.04838019928843158,1.5834303821954887,-0.0725319891668984,-0.3642567592631042,-0.22913718784014125,-0.39350563658154164,-0.06139212722504977,0.4318766066838046,10.0,10.0,409,,830,10.0,10,10
strategy95_tech_cmo_14_high,strategy95_factor_single,tech_cmo_14,alphabuilderstw,technical,high,1,1.0,1,0.8330084457431053,ok,1.341,0.25128846984140374,0.34924114594935807,2.1924510209270838,1.109235070791804,-0.26615605575060464,0.8975416619857337,2.5407085493785657,0.9441041200116776,0.4524421593830334,10.0,10.0,410,,830,10.0,10,10
